ts,t_min,cells,gib,seconds,cells_per_s,mib_per_s,size_class
2026-08-23 20:11:24,36.4,4084155,18.653,265.2,15397,72.0,standard
2026-08-23 20:18:42,43.7,3995565,18.248,308.7,12944,60.5,standard
2026-08-23 20:26:39,51.6,3966265,18.115,302.0,13133,61.4,standard
2026-08-23 20:34:33,59.5,3967414,18.12,301.7,13149,61.5,standard
2026-08-23 21:05:15,90.2,3966109,18.114,1615.6,2455,11.5,standard
2026-08-23 21:09:58,95.0,16013399,73.132,1943.1,8241,38.5,large
2026-08-23 21:17:11,102.2,3966157,18.114,296.7,13366,62.5,standard
2026-08-23 21:26:11,111.2,3966482,18.116,333.1,11908,55.7,standard
2026-08-23 21:33:42,118.7,3967227,18.119,273.9,14485,67.7,standard
2026-08-23 22:05:30,150.5,3966049,18.114,369.4,10736,50.2,standard
2026-08-23 22:11:29,156.5,3966110,18.395,216.4,18330,87.1,standard
2026-08-23 22:20:06,165.1,3966103,18.114,277.0,14317,67.0,standard
2026-08-23 22:33:48,178.8,3966114,18.114,274.4,14454,67.6,standard
2026-08-23 22:45:34,190.6,3966070,18.114,276.9,14325,67.0,standard
2026-08-23 22:56:21,201.3,3966109,18.114,247.2,16045,75.0,standard
2026-08-23 23:09:22,214.4,3966152,18.114,272.1,14576,68.2,standard
2026-08-23 23:20:54,225.9,3966071,18.114,260.9,15202,71.1,standard
2026-08-23 23:35:29,240.5,3966118,18.114,272.9,14535,68.0,standard
2026-08-23 23:46:55,251.9,3966140,18.114,256.2,15480,72.4,standard
2026-08-23 23:58:35,263.6,3966132,18.114,261.8,15151,70.9,standard
2026-08-24 00:11:24,276.4,3966147,18.114,259.2,15299,71.5,standard
2026-08-24 00:23:26,288.4,3966123,18.114,281.7,14078,65.8,standard
2026-08-24 00:38:22,303.4,3966105,18.114,273.4,14508,67.9,standard
2026-08-24 00:50:02,315.0,3966147,18.114,269.8,14700,68.7,standard
2026-08-24 01:01:47,326.8,3966109,18.114,273.4,14507,67.8,standard
2026-08-24 01:15:17,340.3,3966096,18.114,292.8,13546,63.4,standard
2026-08-24 01:26:49,351.8,3966086,18.114,270.9,14643,68.5,standard
2026-08-24 01:39:24,364.4,3966071,18.114,322.0,12315,57.6,standard
2026-08-24 01:51:00,376.0,3966125,18.114,293.0,13538,63.3,standard
2026-08-24 02:03:40,388.7,3966113,18.114,340.9,11635,54.4,standard
2026-08-24 02:15:40,400.7,3966101,18.114,327.4,12113,56.7,standard
2026-08-24 02:28:07,413.1,3966115,18.114,344.2,11523,53.9,standard
2026-08-24 02:44:06,429.1,3966094,18.114,569.6,6962,32.6,standard
2026-08-24 02:55:31,440.5,3966079,18.114,422.9,9377,43.9,standard
2026-08-24 03:11:51,456.9,3966118,18.114,636.8,6229,29.1,standard
2026-08-24 03:26:20,471.3,3966108,18.114,641.9,6179,28.9,standard
2026-08-24 03:43:47,488.8,3966069,18.114,827.6,4792,22.4,standard
2026-08-24 03:58:24,503.4,3966108,18.114,761.9,5206,24.3,standard
2026-08-24 04:05:52,510.9,3966046,18.114,299.0,13263,62.0,standard
2026-08-24 04:18:05,523.1,3966074,18.114,315.3,12577,58.8,standard
