ts,t_min,total_batches,reached,pct,minutes,batches_per_min,complete
2026-08-24 08:05:26,70.6,30996,30990,100.0,14.7,2110,True
2026-08-24 08:20:17,85.5,31006,31000,100.0,11.9,2612,True
2026-08-24 08:32:37,97.8,31446,30780,97.9,9.4,3279,False
2026-08-24 08:43:49,109.0,31678,31380,99.1,2.4,12892,True
