ts,t_min,total_batches,reached,pct,minutes,batches_per_min,complete
2026-08-23 20:44:22,69.4,30987,30870,99.6,7.7,3997,True
2026-08-23 20:52:36,77.6,30996,30650,98.9,7.3,4188,True
2026-08-23 21:00:27,85.5,31216,30610,98.1,4.2,7200,True
2026-08-23 21:05:02,90.0,31908,31900,100.0,2.2,14606,True
2026-08-24 04:59:08,564.1,30985,7430,24.0,112.9,66,False
