run,boot,session,jvector_branch_commit,jvector_jar_md5,jvector_jar_built,cassandra_branch_commit,cassandra_jar_built,jvector_flags_explicit,evidence
aug21,2026-08-21 19:47:24,stcs_adaptive_20260821_194852,xlink-integration @ 117e856f (2026-08-21 07:36),unknown (pre-08-23 build),before 2026-08-23 03:24,compaction-integration-referencepoint @ 7b35421f24 (2026-07-28),before 2026-08-23 19:34,none,CassandraDaemon:634 JVM Arguments + git reflog
cycle1,2026-08-23 03:36:00,stcs_adaptive_20260823_033825,experiment/compaction-io-prefetch-20260823 @ 55a262a7,f97b7ad3f072f25dbc2d197c0ab005e2,2026-08-23 03:24,compaction-integration-referencepoint @ 7b35421f24,before 2026-08-23 19:34,none,CassandraDaemon:634 JVM Arguments
cycle2,2026-08-23 14:48:28,stcs_adaptive_20260823_144949,experiment/compaction-io-prefetch-20260823 @ 55a262a7,f97b7ad3f072f25dbc2d197c0ab005e2,2026-08-23 03:24,compaction-integration-referencepoint @ 7b35421f24,before 2026-08-23 19:34,sourcePretouchMaxNodes=-1 sourcePretouchWindowNodes=1048576,CassandraDaemon:634 JVM Arguments
cycle3,2026-08-23 19:35:08,stcs_adaptive_20260823_193534,experiment/compaction-io-prefetch-20260823 @ 55a262a7,f97b7ad3f072f25dbc2d197c0ab005e2,2026-08-23 03:24,experiment/sai-vector-reader-prefetch-20260823 @ 80064aa109 (2026-08-23 18:37),2026-08-23 19:34,sourcePretouchMaxNodes=-1 sourcePretouchWindowNodes=1048576,CassandraDaemon:634 JVM Arguments + git reflog + jar mtime
cycle4,2026-08-24 06:54:02,stcs_adaptive_20260824_065450,experiment/compaction-io-prefetch-20260823 @ 55a262a7,f97b7ad3f072f25dbc2d197c0ab005e2,2026-08-23 03:24,experiment/sai-vector-reader-prefetch-20260823 @ 80064aa109,2026-08-23 19:34,frontierPrefetch=32 sourcePretouchMaxNodes=-1 sourcePretouchWindowNodes=1048576,CassandraDaemon:634 JVM Arguments
