ts,t_min,ordinals,sources,ordinals_per_source,windows_per_source,ms,us_per_ordinal
2026-08-23 20:07:03,32.0,4084155,4,1021039,0.97,2688,0.66
2026-08-23 20:13:37,38.6,3995750,4,998938,0.95,2582,0.65
2026-08-23 20:21:41,46.7,3966265,4,991566,0.95,2649,0.67
2026-08-23 20:29:35,54.6,3967414,4,991854,0.95,2727,0.69
2026-08-23 20:38:32,63.5,3966109,4,991527,0.95,11361,2.86
2026-08-23 20:38:51,63.9,16013399,4,4003350,3.82,73086,4.56
2026-08-23 21:12:21,97.3,3966157,4,991539,0.95,5772,1.46
2026-08-23 21:20:41,105.7,3966482,4,991620,0.95,2955,0.74
2026-08-23 21:29:13,114.2,3967227,4,991807,0.95,3022,0.76
2026-08-23 21:59:27,144.4,3966049,4,991512,0.95,5254,1.32
2026-08-23 22:15:36,160.6,3966103,4,991526,0.95,5984,1.51
2026-08-23 22:29:20,174.3,3966114,4,991528,0.95,5712,1.44
2026-08-23 22:41:03,186.1,3966070,4,991518,0.95,5163,1.3
2026-08-23 22:52:22,197.4,3966109,4,991527,0.95,7927,2.0
2026-08-23 23:04:55,209.9,3966152,4,991538,0.95,4249,1.07
2026-08-23 23:16:38,221.6,3966071,4,991518,0.95,4183,1.05
2026-08-23 23:31:03,236.1,3966118,4,991530,0.95,6130,1.55
2026-08-23 23:42:44,247.7,3966140,4,991535,0.95,4723,1.19
2026-08-23 23:54:19,259.3,3966132,4,991533,0.95,4504,1.14
2026-08-24 00:07:12,272.2,3966147,4,991537,0.95,5582,1.41
2026-08-24 00:18:55,283.9,3966123,4,991531,0.95,9966,2.51
2026-08-24 00:33:56,298.9,3966105,4,991526,0.95,5846,1.47
2026-08-24 00:45:39,310.6,3966147,4,991537,0.95,5396,1.36
2026-08-24 00:57:21,322.4,3966109,4,991527,0.95,6778,1.71
2026-08-24 01:10:32,335.5,3966096,4,991524,0.95,6697,1.69
2026-08-24 01:22:26,347.4,3966086,4,991522,0.95,6769,1.71
2026-08-24 01:34:09,359.1,3966071,4,991518,0.95,6431,1.62
2026-08-24 01:46:15,371.2,3966125,4,991531,0.95,6791,1.71
2026-08-24 01:58:08,383.1,3966113,4,991528,0.95,7866,1.98
2026-08-24 02:10:21,395.4,3966101,4,991525,0.95,6548,1.65
2026-08-24 02:22:29,407.5,3966115,4,991529,0.95,5663,1.43
2026-08-24 02:34:44,419.7,3966094,4,991524,0.95,6996,1.76
2026-08-24 02:48:37,433.6,3966079,4,991520,0.95,7960,2.01
2026-08-24 03:01:26,446.4,3966118,4,991530,0.95,9822,2.48
2026-08-24 03:15:49,460.8,3966108,4,991527,0.95,9933,2.5
2026-08-24 03:30:07,475.1,3966069,4,991517,0.95,6952,1.75
2026-08-24 03:45:52,490.9,3966108,4,991527,0.95,8409,2.12
2026-08-24 04:01:02,506.0,3966046,4,991512,0.95,8261,2.08
2026-08-24 04:12:57,518.0,3966074,4,991518,0.95,6426,1.62
2026-08-24 04:30:51,535.9,3966070,4,991518,0.95,7263,1.83
2026-08-24 04:38:28,543.5,126916949,32,3966155,3.78,410926,3.24
